Gene_id,SM1,SM2,SM3,R1,R2,R3,mean_sm,mean_r,log2fc,log10intensity,pass_1,pass_2,desc,FDR
Tb927.10.1390,4782058.363724199,4970224.086304333,4882379.314681205,7835232.3317762045,8494842.483430948,8841146.34956421,4878220.588236579,8390407.054923788,0.7823858069069493,7.122826006675761,True,False,Hypoxanthine-guanine-xanthine phosphoribosyltransferase,0.0036181870441238796
Tb927.2.6150,16847.712286113663,20320.781003510812,20687.413024380985,15168.420626628229,47368.925934390696,36954.715840757024,19285.302104668484,33164.02080059198,0.7821171835620638,4.7197398860394495,False,False,adenosine transporter 2,0.4942589702369721
Tb927.10.2440,8080743.2485157745,7226250.938425565,7783206.016492889,13166020.632759972,12715239.594359286,13733328.171831865,7696733.401144743,13204862.799650377,0.7787511304587073,7.320179453322868,True,False,Metacaspase-4,0.00299901198734526
Tb927.3.1700,246428.73028919753,241392.09949977102,260854.32430109006,435991.31116490863,451874.35148183315,395782.20178250707,249558.3846966862,427882.6214764163,0.7778377083344279,5.830871481378143,True,False,"diacylglycerol acyltransferase, putative",0.00388108162346875
Tb927.5.3500,21492.359936945664,20966.94506251735,23461.343190891464,38928.87007309982,45970.87756833613,27779.831901636247,21973.549396784827,37559.85984769073,0.7734237519452671,4.774760753602784,False,False,"SET domain containing protein, putative",0.0509653665124858
Tb927.5.4560,5198015.491605696,4965293.104613981,5133643.819635548,10611396.265582735,8167361.492825679,7311647.538658028,5098984.138618409,8696801.765688812,0.770275099612054,7.1397464459664866,True,False,"guanine deaminase, putative",0.00995121851941025
Tb927.3.4120,1177.4276989027699,1901.2016279863233,2292.1915852636894,3332.8407590249535,2241.2012466132433,3526.5465861390117,1790.2736373842608,3033.529530592403,0.7608172401938746,3.6833895784012465,False,False,"hypothetical protein, conserved",0.17015747249799099
Tb927.7.3350,5536.989509252409,6584.504217183303,5306.6164400793305,8383.605935866208,11161.738133110142,9964.044166685198,5809.370055505014,9836.462745220517,0.7597578743603999,4.194398684844541,False,False,"palmitoyl acyltransferase 11, putative",0.0254941866810881
Tb927.10.7270,1129.7478370799354,770.5275263886214,814.6102012280469,1875.926292332467,904.6443598697543,1813.149400450314,904.961854898868,1531.2400175508453,0.7587715514731621,3.3867132726547813,False,False,"hypothetical protein, conserved",0.00683681387741516
Tb927.7.5230,595468.4965429531,691025.7195102178,684332.8800047948,1242715.428886868,1029109.7850950832,1062582.5244744294,656942.3653526552,1111469.246152127,0.758629319028006,6.247583357848797,True,False,lanosterol synthase,0.00684130409140994
Tb927.6.3140,214526.2671875997,213439.5970425884,213682.52737768262,388975.8257319562,359631.98506173823,334802.5973463095,213882.79720262357,361136.8027133346,0.7557250000498568,5.759682648150976,False,False,Ubiquitin-like protein 11,0.00388108162346875
Tb927.8.1460,31789.885650071687,35352.056856267,33009.956282633815,50579.85369126836,68622.76136678868,49145.36441220575,33383.966262990834,56115.993156754266,0.749256632298825,4.951822838402116,False,False,"EamA-like transporter family, putative",0.0189025117932321
Tb927.11.10030,1129.7478370799354,770.5275263886214,814.6102012280469,1875.926292332467,876.5598536650647,1768.4401625444732,904.961854898868,1506.9754361806683,0.7357270136182722,3.382366012219293,False,False,"60S ribosomal protein L29, putative",
Tb10.v4.0252,1129.7478370799354,770.5275263886214,814.6102012280469,1875.926292332467,876.5598536650647,1768.4401625444732,904.961854898868,1506.9754361806683,0.7357270136182722,3.382366012219293,False,False,"variant surface glycoprotein (VSG, pseudogene), putative",
Tb927.10.2220,1129.7478370799354,770.5275263886214,814.6102012280469,1875.926292332467,876.5598536650647,1768.4401625444732,904.961854898868,1506.9754361806683,0.7357270136182722,3.382366012219293,False,False,PIWI-like protein,
Tb927.2.5600,1129.7478370799354,770.5275263886214,814.6102012280469,1875.926292332467,876.5598536650647,1768.4401625444732,904.961854898868,1506.9754361806683,0.7357270136182722,3.382366012219293,False,False,"hypothetical protein, conserved",
Tb09.v4.0119,1129.7478370799354,770.5275263886214,816.6798790362805,1875.926292332467,876.5598536650647,1768.4401625444732,905.6517475016125,1506.9754361806683,0.7346276021440927,3.3824902168201794,False,False,"variant surface glycoprotein (VSG, pseudogene), putative",0.45639652211469106
Tb927.10.5780,2811.5390743273742,3670.704953326163,4730.571725217549,5709.126376748299,7426.642936583957,5430.801603454058,3737.605250957029,6188.856972262104,0.7275587747175638,3.996794494145576,False,False,"amino acid tansporter, putative",0.0773402066408339
Tb927.5.3600,685580.1242865945,676253.320196205,663345.7851258279,1365338.36120368,1143558.26584198,842378.9831565819,675059.7432028758,1117091.8700674141,0.7266607461728106,6.253374747525553,False,False,"ATP-dependent DEAD/H RNA helicase, putative",0.0505939167692165
Tb927.11.20730,20035.475270136838,16497.21561778374,21129.443759895144,32292.309997268425,29316.80656858306,33709.07823995094,19220.711549271906,31772.73160193414,0.725127382865429,4.707514337150533,False,False,"glycerophosphoryl diester phosphodiesterase, putative",0.0122309875971577
Tb927.8.6710,175115.8813996632,198543.9231863169,204757.62714579713,424077.9938936973,264332.0312725844,266273.0366977106,192805.81057725908,318227.68728799745,0.7229108316665318,5.708449368747673,False,False,"hypothetical protein, conserved",0.0424626830867123
Tb927.5.1020,119762.54181471647,123644.36588557511,137863.018167457,206653.9368671849,291273.8028039894,130827.24403249228,127089.97528924952,209584.99456788888,0.7216851927740252,5.5272108299105165,False,False,"disulfide isomerase, putative",0.23776558176698398
Tb927.11.7710,564443.475342956,574366.9110193079,510395.65859156346,884341.1847919729,1058213.487089459,759023.6705043007,549735.3483179425,900526.1141285775,0.7120308645573878,6.161446306690988,False,False,"Gp63-1 surface protease homolog, putative",0.0216771284491565
Tb927.2.2060,37809.46820520452,36279.69778676446,37979.992539781386,59555.75606762853,59664.13332451562,63671.6488789714,37356.38617725012,60963.846090371844,0.7065990257294953,4.992642895838807,False,False,"variant surface glycoprotein (VSG)-related, putative",0.00383804137132719
Tb927.5.2250,1201764.295041508,1196893.0765477198,1033808.7477417007,2081220.4263192003,1650067.6885951795,1868192.37730609,1144155.3731103095,1866493.4974068233,0.7060475031242407,6.478660107060717,False,False,"META domain/Domain of unknown function (DUF1935), putative",0.0128259247176117
Tb927.5.310,1657951.3063360217,1792000.9293020708,1722889.7121300905,3466895.662460605,2441128.3399032257,2495281.6174618336,1724280.6492560608,2801101.873275222,0.6999998426934486,6.655655295232518,False,False,"invariant surface glycoprotein, putative",0.019747518230232
Tb11.v5.0421,426726.48556057847,457379.37041570793,405563.19983424305,896061.9636022354,665565.7353860642,528823.8184471283,429889.68527017644,696817.172478476,0.6968136835348551,6.051810937676756,False,False,"75 kDa invariant surface glycoprotein, putative",0.07327484912189099
Tb927.5.309b,1483621.8115462838,1339686.087997495,1298090.6832546166,2755706.7223307136,2146282.2043818505,1765065.880438372,1373799.527599465,2222351.6023836453,0.693915592751335,6.555837934879468,False,False,"invariant surface glycoprotein, putative",0.0645141377661716
Tb927.10.6530,40560.99356456392,31541.846212617966,40260.38415202076,71787.96516478648,47681.891106173156,61879.06151010514,37454.407976400886,60449.63926035492,0.6905982118750404,4.990800645391075,False,False,"dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative",0.0711809295648075
Tb927.5.3880,19339.316176508302,19368.485164561593,23821.89792219009,40976.99795144343,34421.021442587866,25501.137016859782,20843.233087753328,33633.05213696369,0.690300628799283,4.736207485075583,False,False,"hypothetical protein, conserved",0.088206602770707
Tb927.1.5120,445748.7637669801,498029.1507255468,474171.61441849614,949876.4634374448,633991.2557197214,697168.8616468332,472649.842970341,760345.5269346666,0.6858834016220787,6.090961445753492,False,False,"expression site-associated gene 1 (ESAG1) protein, putative",0.0295330120632821
Tb927.10.16220,64600.41834228842,60552.45515752193,57988.43886236625,216365.09549129356,53656.02561884961,24020.670742807884,61047.10412072553,98013.93061765035,0.6830639525415755,5.20156380333807,False,False,"Variant Surface Glycoprotein, putative",1.0
Tb927.5.370,671267.8879859555,640318.7911277652,715630.9036931068,1453665.3801639746,787107.407032899,985111.1162446623,675739.1942689425,1075294.634480512,0.6701935755038655,6.243294536430277,False,False,"75 kDa invariant surface glycoprotein, putative",0.14482268019436198
Tb927.11.1560,2411723.566333816,2512437.9000195335,2341826.3924294743,3693128.354075528,3600128.966194998,4246850.3694758015,2421995.952927608,3846702.563248776,0.6674258267849805,6.797177383587653,False,False,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",0.0106772818352164
Tb927.7.6560,9335.65072288065,10035.472298933157,8608.454923558735,13766.499957844262,10077.16968418637,20495.600405090292,9326.525981790846,14779.756682373642,0.6642108189550167,4.382130244682267,False,False,"hypothetical protein, conserved",0.192245779990421
Tb927.5.1780,81812.35179510429,83693.14131520277,91970.488160813,131720.37459664623,151293.95278010206,124669.1791888576,85825.32709037335,135894.50218853532,0.663011735355965,5.345804535520025,False,False,"hypothetical protein, conserved",0.0143840333136639
Tb927.11.950,45851.30601091347,49151.61457428736,51602.40584230043,69987.73055491454,84597.36850675086,76202.88905050472,48868.442142500426,76929.32937072338,0.6546306175258075,5.099672947722269,False,False,"RNA-binding protein, putative",0.0153670338367038
Tb927.11.9200,44137.81097665536,47963.042529342114,50145.20282437663,84099.59637708584,72998.09682756326,66054.73561640536,47415.35211012471,74384.14294035149,0.6496408537584227,5.085645487826853,False,False,"methyltransferase domain containing protein, putative",0.0172249486783074
Tb927.6.410,289828.9934032809,313507.70672116824,348942.05943342485,508806.9503650097,521004.65176207165,459018.35737715976,317426.25318595796,496276.6531680804,0.6447231328704037,5.910465867195401,False,False,"hypothetical protein, conserved",0.0143840333136639
Tb927.5.360,9150229.038014073,9114508.739474714,8814767.150325196,18712331.67346838,11882381.620767133,11510519.834437702,9026501.642604662,14035077.709557736,0.6367981889678449,7.362889046256243,False,False,75 kDa invariant surface glycoprotein,0.0561089576859757
Tb927.11.370,950534.4675548724,484438.13244151423,780053.1373711135,929359.0836925808,1012699.7033904368,1490167.3351069402,738341.9124558334,1144075.3740633193,0.6318211415242319,6.274715902377383,False,False,repressor activator protein 1,0.254575132014138
Tb927.5.420,98232.10421034286,108738.41915078204,98857.55178151456,162731.10046322373,168723.23027443473,140159.2429821784,101942.69171421316,157204.52457327893,0.6248843889881508,5.4135465480878615,False,False,"invariant surface glycoprotein, putative",0.0169628586308224
Tb927.8.2720,310523.3778749972,321952.012865896,325285.92303705256,502621.65230702725,494680.57464865845,478156.8636977025,319253.77125931525,491819.6968844628,0.6234258523782689,5.909060194980963,False,False,"Putative serine esterase (DUF676), putative",0.00383804137132719
Tb927.11.11090,20929.472679314982,17389.92876130787,19382.86045113686,35977.01479367744,21493.706764718092,31310.174555144622,19234.087297253238,29593.632037846717,0.6216213979347724,4.688666439555213,False,False,Nucleoporin NUP140,0.134068640157067
Tb927.5.1460,1708362.8269091228,1653317.069260922,1594494.7675559558,3098304.8462816104,2756564.289357657,1742605.815169636,1652058.221242,2532491.6502696346,0.6162929818153371,6.621648748151854,False,False,"Possible lysine decarboxylase, putative",0.17035117506540998
Tb927.8.3700,11588.85530416112,20099.91411529713,17069.69113605216,40274.23256898005,11114.381561064112,23346.868784745802,16252.820185170136,24911.82763826332,0.616140791807938,4.614524404236941,False,False,"hypothetical protein, conserved",0.6280951466999221
Tb927.3.3370,754782.1459600137,775797.513070185,783995.8267705089,1219971.8231872825,1163736.2834963757,1147466.8087060377,771525.1619335692,1177058.3051298987,0.6094006718573494,6.2897190134177565,False,False,"hypothetical protein, conserved",0.00394612532435915
Tb927.10.12260,414881.0198889681,443449.3471404637,378142.31013963575,636977.3970879111,480875.1044065438,766879.4210325676,412157.55905635585,628243.9741756743,0.608128974074362,6.017200983540866,False,False,"cytosolic nonspecific dipeptidase, putative",0.103916926460698
Tb927.5.2990,37302.86967333691,33120.78764138275,41262.44535329226,65846.95027913289,54464.1758157221,49842.36455974728,37228.700889337306,56717.830218200754,0.6073870686487974,4.972880748793461,False,False,"hypothetical protein, conserved",0.0377690892796448
Tb927.8.870,216347.37302111072,234786.63861040372,260198.77024418346,394475.20552280836,343005.7103107948,345515.94303318084,237110.9272918993,360998.9529555947,0.6064325015488744,5.776780976633015,False,False,"CAMK/CAMKL family protein kinase, putative",0.0195862299400705
Tb927.9.15040,115093.88867789728,116340.34925674129,115845.76691335118,171900.74466591372,173170.630083975,183170.79520338707,115760.00161599659,176080.72331775862,0.6051001296443248,5.46514589543923,False,False,"DTW domain containing protein, putative",0.00394612532435915
Tb927.4.2290,34853.482327264566,38038.414589656655,37983.73856296371,60118.93106590398,57479.55406621828,51044.45256004583,36958.54515996164,56214.31256405604,0.605029530167242,4.969289416029219,False,False,"glucose transporter, putative",0.0153670338367038
Tb927.5.1570,41428.502161618264,45659.86316480689,45441.134213174024,92946.73865768645,54810.084689797455,52827.549760488684,44176.49984653306,66861.45770265753,0.5978956918210976,5.045471464698729,False,False,zinc finger CCCH domain containing protein 12,0.164062048603018
Tb11.01.6241,137187.2135399016,150641.49064025204,159234.080422612,282502.05682723067,198794.6535236643,191543.23267915065,149020.9282009219,224279.9810100152,0.5897858986425316,5.572059047694352,False,False,"expression site-associated gene (ESAG) protein, putative",0.0674229654173749
Tb927.11.11920,46549.12065529974,46804.261832109405,46848.70242393204,77281.32812873395,60094.46043571651,72405.7672179827,46734.02830378039,69927.18526081105,0.5813800367305527,5.066926489852134,False,False,"molybdenum cofactor biosynthesis protein, putative",0.0297004622244015
Tb11.v5.0228,2623882.395937851,2653484.5221206425,2640009.837742417,4637168.49541546,3751875.8948816275,3401698.1482132673,2639125.5852669706,3930247.5128367855,0.5745601667891663,6.817523927699137,False,False,"75 kDa invariant surface glycoprotein, putative",0.03451982731057499
Tb927.5.2400,268902.8318254814,270341.0711735456,284145.2234371858,462934.66204394127,461520.6793094703,301639.7310222837,274463.04214540427,408698.3574585651,0.5744245492086587,5.8345233196063155,False,False,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase, putative",0.12203025929418801
Tb927.9.15290,266618.17177980393,252486.8083030629,258550.52004396115,328446.547071155,258494.8190225628,570970.7108786484,259218.500042276,385970.6923241221,0.5743226194589561,5.809687083864246,False,False,"CHAT domain containing protein, putative",0.39429158068142206
Tb927.5.760,283430.28972462623,311822.95464363135,284398.08000199264,553391.6377284826,398659.9773718476,356166.0209305627,293217.1081234167,436072.54534363095,0.5725988809611962,5.862900052210959,False,False,"Cell cycle sequence binding phosphoprotein, putative",0.10725522398036
Tb927.5.4420,3139586.456973021,3395597.2665186105,3537369.691067988,5986261.42397658,4719494.200665636,4265725.260006805,3357517.8048532065,4990493.62821634,0.5717874746753784,6.921583035184458,False,False,"nucleolar RNA helicase II, putative",0.0467429225729026
Tb927.8.6730,681954.4681271497,704020.9108399994,635672.0388664138,1192150.0155801708,860798.3510993096,951167.9471836006,673882.4726111876,1001372.104621027,0.5714092641633655,6.224080813215311,False,False,Enriched in surface-labeled proteome protein 24,0.0446223517505462
Tb927.8.850,50106.071458298335,61159.58227814651,54273.32037129702,93224.71606068138,65277.94609336358,86323.62644249198,55179.658035913955,81608.76286551231,0.5645875561709541,5.136049336043085,False,False,"hypothetical protein, conserved",0.0843328454769742
Tb927.5.1200,8701.574782667263,11196.410300655394,9640.390659709274,19262.269652553594,9672.168044123142,14725.578003657247,9846.12524767731,14553.338566777995,0.5637221517967016,4.387380282691929,False,False,exosome complex component CSL4,0.309637691577175
Tb927.6.3240,256626.92295685931,228140.08620695016,253146.88160345965,379048.0613392801,352754.98720809724,358865.4466154437,245971.29692242303,363556.1650542736,0.5636882871192397,5.784993277331372,False,False,"hypothetical protein, conserved",0.0142363757802885
Tb927.1.3390,44296.74384939814,25850.67151167009,35488.887123536326,66477.51373874044,47889.84822689703,41363.42630500987,35212.10082820152,51910.26275688245,0.5599484863151324,4.940129649094312,False,False,"Eukaryotic protein of unknown function (DUF866), putative",0.249284278816947
Tb927.4.2650,33889.12401088259,21835.003297589723,28949.267152995246,48820.53350434805,34020.549561589905,41463.60030503475,28224.464820489186,41434.8944569909,0.5539000218168695,4.842979475526545,False,False,"Regulator of chromosome condensation (RCC1) repeat, putative",0.15894105341542003
Tb927.1.1500,572953.0062377257,657166.3119031343,624920.9523331457,945123.1701827695,885660.5514234758,891738.4035898934,618346.7568246686,907507.3750653794,0.5534932671899078,6.183513018059763,False,False,"conserved protein, unknown function",0.0144775428638483
Tb927.5.920,13745.210166113957,10726.939752219801,13488.492973750988,21792.947048650316,13890.917969936834,19996.839331282208,12653.547630694915,18560.234783289787,0.55267303541499,4.494346398655388,False,False,"rhodanese-like domain containing protein, putative",0.16214431624071202
Tb927.11.13770,349875.81938641286,352801.46706616034,361725.36354310345,591153.2433820799,500589.85124744574,464723.0030627871,354800.88333189226,518822.03256410424,0.548230145665676,5.941324017435582,False,False,"LEM3 (ligand-effect modulator 3) family / CDC50 family, putative",0.0309030827944621
Tb927.5.1270,165116.3548229299,156846.30926727824,175257.69458500034,289962.9221889994,257084.4167681484,179680.52214988865,165740.11955840283,242242.62036901215,0.547529848343969,5.6106417902642916,False,False,Acidic leucine-rich nuclear phosphoprotein 32 family member,0.14640659889469101
Tb927.4.4790,59818.35997856422,53587.4435198998,69069.17543567887,88707.2824206685,86716.06036046242,90907.37779099883,60824.99297804764,88776.90685737658,0.54552019490998,5.174937108787816,False,False,"hypothetical protein, conserved",0.0348232238218818
Tb927.5.2410,2513705.493010434,2612187.5504639447,2528846.59980697,4246195.08315116,4157804.076571844,2750672.594367368,2551579.881093783,3718223.918030124,0.543222846329586,6.797253950672656,False,False,"kinesin, putative",0.13684065621368302
Tb927.4.610,241006.80155760786,249014.5753627734,213083.16366851088,369782.1479061157,327367.7466286381,323572.56471194146,234368.18019629738,340240.81974889844,0.5377795254027089,5.759372423946089,False,False,"PX domain containing protein, putative",0.0286111096017337
Tb927.5.830,119241.04332602923,116802.62879021178,118205.76151821493,200420.5041939652,189374.8136492908,121695.59308285592,118083.14454481866,170496.97030870398,0.529943057246117,5.460266401924072,False,False,Tripartite attachment complex protein 65,0.18750415892776803
Tb927.5.610,1965635.4146614997,2216989.9137392794,1975371.6746186877,3545355.0852972697,3136240.4582832265,2186113.019490312,2052665.6676731557,2955902.8543569357,0.5261001916121508,6.699713619716519,False,False,"acidic phosphatase, putative",0.16668665218423098
Tb927.11.3760,132907.61483115065,143943.57384419063,138350.00118115902,234186.9367828734,153002.9073365458,210006.88257847313,138400.39661883345,199065.57556596413,0.5243956798380071,5.52822998801916,False,False,hypothetical protein,0.11940180746103199
Tb927.8.670,44852.181128619006,46852.54436116076,52787.08567371021,72783.14833481595,76284.23113127914,58655.56763562034,48163.93705449666,69240.98236723848,0.5236728664779597,5.069686294807273,False,False,"hypothetical protein, conserved",0.0581369135871007
Tb927.8.7960,39316.01939474547,38693.82423933261,38386.436055063474,61094.86038983857,59480.88398051141,46587.23679051778,38798.759896380514,55720.993720289254,0.5222104459131691,4.975522580892407,False,False,hypothetical protein,0.0513322152759105
Tb927.11.16790,176440.32200585303,182600.4157208456,177524.038610306,285450.3020105103,258618.35790616114,225032.98258220503,178854.9254456682,256367.21416629213,0.5194219240038948,5.638710979674367,False,False,mitogen-activated protein kinase,0.0356218159499253
Tb927.5.3370,79165.12613348235,91805.63348368388,77956.61543574114,127460.46114815248,124434.54050442934,104737.7165733811,82975.79168430246,118877.57274198765,0.5187141697029309,5.305035992485969,False,False,hypothetical protein,0.0438094376062175
Tb927.4.3480,599127.2637175525,498532.52177310357,542648.9181913679,1085928.9534054406,648537.9592634261,608752.1258354003,546769.567894008,781073.0128347557,0.5145244667046346,6.123146591317249,False,False,hypothetical protein,0.302683241292146
Tb927.11.4860,726406.0059723963,805260.128670038,602884.9709631283,974052.0739403374,1048742.172680253,1010555.3122509817,711517.0352018542,1011116.5196238573,0.5069790575312209,6.236192902495683,False,False,"Ring finger domain containing protein, putative",0.0511229021845148
Tb927.1.5060,36269.80600050883,34733.6295692687,40900.01761040248,68473.89690570404,40148.07818806764,50282.075696698594,37301.15106006001,52968.01693015676,0.5059013459110677,4.955539439591426,False,False,"variant surface glycoprotein (VSG)-related, putative",0.21834277178627104
Tb927.1.4900,2924530.4135429454,2698171.543689457,2885280.7056050417,5154495.272677458,3016922.486541162,3903622.6114958203,2835994.2209458146,4025013.4569048136,0.5051390139002996,6.836387905326454,False,False,"expression site-associated gene 11 (ESAG11) protein, putative",0.20706351789989103
